Country,Strategy,Eq,Bo,Withdrawal,Rebalance,TrailAver,TrailMax,TrailMin,WDAver,WDMax,WDMin,SuccessRate, 
NewZealand.JPG,1,55,30,1.00,11,17.33,38.46,6.75,40,40,40,1.00,
NewZealand.JPG,1,55,30,1.50,11,15.58,37.69,6.13,60,60,60,1.00,
NewZealand.JPG,1,55,30,2.00,11,13.65,36.82,4.14,80,80,80,1.00,
NewZealand.JPG,1,55,30,2.50,11,11.65,38.40,3.50,100,100,100,1.00,
NewZealand.JPG,1,55,30,3.00,11,9.74,24.95,2.38,120,120,60,1.00,
NewZealand.JPG,1,55,30,3.50,11,7.81,25.01,0.57,140,140,70,1.00,
NewZealand.JPG,1,55,30,4.00,11,5.88,22.53,0.00,159,160,0,1.00,
NewZealand.JPG,1,55,30,4.50,11,4.08,18.88,0.00,175,180,0,0.99,
NewZealand.JPG,1,55,30,5.00,11,2.47,15.63,0.00,187,200,0,0.93,
NewZealand.JPG,1,55,30,5.50,11,1.37,14.55,0.00,191,220,0,0.73,
NewZealand.JPG,1,55,30,6.00,11,0.60,9.88,0.00,187,240,0,0.43,
NewZealand.JPG,1,55,30,6.50,11,0.23,8.47,0.00,179,260,0,0.19,
NewZealand.JPG,1,55,30,7.00,11,0.06,6.08,0.00,170,280,0,0.06,
NewZealand.JPG,1,55,30,7.50,11,0.01,3.51,0.00,162,300,0,0.02,
NewZealand.JPG,1,55,30,8.00,11,0.00,3.15,0.00,156,320,0,0.00,
NewZealand.JPG,1,55,30,8.50,11,0.00,0.00,0.00,150,340,0,0.00,
NewZealand.JPG,1,55,30,9.00,11,0.00,0.00,0.00,147,360,0,0.00,
NewZealand.JPG,1,55,30,9.50,11,0.00,0.00,0.00,143,380,0,0.00,
Norway.JPG,1,55,30,0.00,11,15.72,35.97,6.67,0,0,0,1.00,
Norway.JPG,1,55,30,0.50,11,14.24,44.95,5.24,20,20,20,1.00,
Norway.JPG,1,55,30,1.00,11,12.62,31.26,4.27,40,40,40,1.00,
Norway.JPG,1,55,30,1.50,11,11.06,33.59,3.61,60,60,60,1.00,
Norway.JPG,1,55,30,2.00,11,9.39,30.12,2.95,80,80,80,1.00,
Norway.JPG,1,55,30,2.50,11,7.73,23.84,2.00,100,100,50,1.00,
Norway.JPG,1,55,30,3.00,11,6.19,22.22,0.30,120,120,60,1.00,
Norway.JPG,1,55,30,3.50,11,4.56,19.87,0.00,140,140,0,1.00,
Norway.JPG,1,55,30,4.00,11,3.04,15.06,0.00,158,160,0,0.98,
Norway.JPG,1,55,30,4.50,11,1.77,17.89,0.00,170,180,0,0.87,
Norway.JPG,1,55,30,5.00,11,0.83,17.17,0.00,176,200,0,0.62,
Norway.JPG,1,55,30,5.50,11,0.37,10.02,0.00,172,220,0,0.33,
Norway.JPG,1,55,30,6.00,11,0.12,7.72,0.00,165,240,0,0.12,
Norway.JPG,1,55,30,6.50,11,0.04,5.94,0.00,159,260,0,0.04,
